ledig;egyedülálló;egyedülálló
verheiratet;házas;házas
verwitwet;özvegy;özvegy
geschieden;elvált;elvált
das Kind, -er;gyerek;gyerek
Haben SIe eine Familie?;Van családja?;Van családja?
Ich habe keine Kinder;Nincs gyerekem.;Nincs gyerekem.
der Gewinn;nyeremény;nyeremény
verliebt;szerelmes;szerelmes
Keine Ahnung!;Fogalmam sincs!;Fogalmam sincs!
viele;sok;sok
Wie viele Kinder hat XY?;Milyen sok/Mennyi gyereke van XY-nak?;Milyen sok/Mennyi gyereke van XY-nak?
Wohnung;lakás;lakás
neu;új;új
"""per du""";tegezõdni;tegezõdni
kennen;ismer;ismer
nehmen;kérni;kérni
Wohnzimmer;nappali;nappali
der Mantel;kabát;kabát
hübsch;csinos/helyes;csinos/helyes
wirklich;tényleg;tényleg
Hier entlang;Erre gyertek/Kezdje itt;Erre gyertek/Kezdje itt
Wie lange wohnst du schon hier?;Mióta laksz itt?;Mióta laksz itt?
nämlich;ugyanis;ugyanis
Zettel;cetli;cetli
stehen;áll;áll
Zucker;cukor;cukor
Milch;tej;tej
der Couchtisch;dohányzóasztal;dohányzóasztal
der Stehlampe;állólámpa;állólámpa
der Fernseher;TV;TV
die Woche;hét;hét
immer;mindig;mindig
doch;de igen;de igen
jede;minden;minden
diese(r);ezt;ezt
klingelen;csöngetni;csöngetni
der Fehler;hiba;hiba
gleich;ugyanaz;ugyanaz
links;balra;balra
rechts;jobbra;jobbra
bestimmen;meghatározni;meghatározni
raten;tanácsolni;tanácsolni
der Dialog, -e;dialógus;dialógus
das Bild, -er;kép;kép
das Lied, -er;dal;dal
der Lesetext, -e;olvasó;olvasó
lesen;olvasni;olvasni
das Rap;rep;rep
die Zahl, -en;szám;szám
die Regel, -n;szabály;szabály
der bestimmte Artikel;határozott névelõ;határozott névelõ
oben;fent;fent
unten;lent;lent
in der Mitte;középen;középen
links;bal;bal
rechts;jobbra;jobbra
langsam;lassan;lassan
der Mäntel;kabát;kabát
erst;csak;csak
Volkshochschule;fõiskola;fõiskola
die Speise, -n;étel;étel
der Hamburger;hamburger;hamburger
der/das Wiener Schnitzel;bécsiszelet;bécsiszelet
der Fleisch;hús;hús
der Frankfurter;virsli;virsli
die Wurst;virsli;virsli
die Suppe;leves;leves
die Sachertorte;Sacher torta;Sacher torta
die Pommes frites;sültkrumpli;sültkrumpli
die Pizza;pizza;pizza
der Käse;sajt;sajt
der Salat;saláta;saláta
essen;enni;enni
das Getränk;ital;ital
das Wasser;víz;víz
die Cola;kóla;kóla
das Bier;sör;sör
der Wein (Weißwein, Rotwein);bor (fehérbor, vörösbor);bor (fehérbor, vörösbor)
der Kaffe;kávé;kávé
der Tee;tea;tea
der Apfelsaft;almalé;almalé
der Orangensaft;narancslé;narancslé
trinken;inni;inni
die Tasse;csésze;csésze
der Teller;tányér;tányér
Paar;pár;pár
das Hähnchen;csirke;csirke
das Brot;kenyér;kenyér
der Schinken;sonka;sonka
das Ei, -er;tojás;tojás
das Eis;fagyi;fagyi
der Kuchen;sütemény;sütemény
das Stück;szelet;szelet
das Glas;pohár;pohár
der Krug;korsó;korsó
die Flasche;üveg;üveg
die Tüte;zacskó;zacskó
die Schachtel;doboz;doboz
die Packung;csomag;csomag
der Löffel;kanál;kanál
die Gabel;villa;villa
das Messer;kés;kés
bestellen;rendelni;rendelni
bekommen;kapni (kérni);kapni (kérni)
der Senf;mustár;mustár
bezahlen;fizetni;fizetni
Stimmt so?;Stimmel?;Stimmel?
wünschen;kívánni;kívánni
der Kühlschrank;Hûtõgép;Hûtõgép
das Telefon;telefon;telefon
das Geräte;eszköz;eszköz
der Haushalt;háztartás;háztartás
der CD-Spieler;CD lejátszó;CD lejátszó
das Radio;rádió;rádió
der Ofen;sütõ;sütõ
der Herd;tûzhely;tûzhely
die Mikrowell;mikrohullámúsütõ;mikrohullámúsütõ
der Geschürrspüler;mosogatógép;mosogatógép
die Spülmaschine;mosogatógép;mosogatógép
der Computer;számítógép;számítógép
der Staubsauger;porszívó;porszívó
das Bügeleisen;vasaló;vasaló
viele;sok;sok
wenige;kevés;kevés
fast;majdnem;majdnem
jedem;minden;minden
etwa genauso viele;körülbelül ugyanolyan sokan;körülbelül ugyanolyan sokan
bequem;kényelmes;kényelmes
praktisch;praktikus;praktikus
super;szuper;szuper
ganz (schön);egész (szép);egész (szép)
hübsch;helyes;helyes
schön;szép;szép
toll;klassz;klassz
interessant;érdekes;érdekes
langweilig;unalmas;unalmas
billig;olcsó;olcsó
schlecht;rossz;rossz
günstig;kedvezõ (ár);kedvezõ (ár)
groß;nagy;nagy
teuer;drága;drága
farbenfroh;színes;színes
das Möbel;bútor;bútor
das Möbelstück;bútor;bútor
das Sofa;kanapé;kanapé
das Bett;ágy;ágy
das Fernser;ablak;ablak
das Regal,-e;polc;polc
das Bücherregal;könyvespolc;könyvespolc
die Lampe,-n;lámpa;lámpa
die Stehlampe,-n;állólámpa;állólámpa
die Tür,-en;ajtó;ajtó
die Vase,-en;váza;váza
die Schublade,-en;fiók;fiók
die Couch;kanapé;kanapé
der Tisch,-e;asztal;asztal
der Stuhl,-e;szék;szék
der Sessel;fotel;fotel
der Schrank,-e;szekrény;szekrény
der Ofen;sütõ;sütõ
der Herd;tûzhely;tûzhely
der Teppich;szõnyeg;szõnyeg
der Vorhang,-e;függöny;függöny
der Spiegel;tükör;tükör
der Kleiderhaken;ruhaakasztó fogas;ruhaakasztó fogas
der Gebrauchtwagen;használt áru;használt áru
alle;mind;mind
fast;szinte mind;szinte mind
viele;sok;sok
drei viertel;háromnegyed;háromnegyed
ber die Hälfte;több mint a fele;több mint a fele
die Hälfte;fél;fél
ein Drittel;egyharmad;egyharmad
ein Zehntel;egytized;egytized
Niemand;senki;senki
beobachten;nézni;nézni
stehen;állni;állni
Süßigkeiten;cukorka;cukorka
vor;elõtt;elõtt
Kaugummis;Rágógumi;Rágógumi
Schokoriegel;Csokoládé rúd;Csokoládé rúd
oben;felett;felett
Gummibärchen;gumicukor;gumicukor
unten;alatt;alatt
Überraschungseier;Meglepetés tojás;Meglepetés tojás
schon;már;már
los;le;le
leute;emberek;emberek
schauen;nézni;nézni
aber;de;de
bleiben;maradni;maradni
hart;kemény;kemény
essen;enni;enni
hören;hallgatni;hallgatni
freundliche;baráti;baráti
stimmen;egyetérteni;egyetérteni
Nachbarin;szomszéd;szomszéd
unsere;mi;mi
Chance;véletlen;véletlen
beim;amikor;amikor
neunten;kilencedik;kilencedik
Tränen;sír;sír
möchte;szeretnék;szeretnék
schreit;határ;határ
weint;sír;sír
Tochter;lánya;lánya
Niemand;senki;senki
Sogar;még;még
flüstert;suttog;suttog
bisschen;kicsit;kicsit
lauter;tiszta;tiszta
machen;teszik;teszik
kaufen;megvesz;megvesz
werbung;hirdetés;hirdetés
Geschichte;történelem;történelem
dem;a;a
für;számára;számára
heute;ma;ma
gemein;közös;közös
dann;akkor;akkor
gefällen;elesni??;elesni??
bisschen;kicsit;kicsit
Warum;Miért;Miért
immer;mindig;mindig
tränen;sír;sír
gibt;vannak;vannak
stellen;állítani;állítani
blumen;virág;virág
